relativeUrl;acronym;name;admin
https://www.fundsexplorer.com.br/funds/rspd11;RSPD11;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/rvbi11;RVBI11;VBI REITS FOF - FDO. INV. IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rzag11;RZAG11;FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB;Genial
https://www.fundsexplorer.com.br/funds/rzak11;RZAK11;RIZA AKIN FDO. INV. IMOB. FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/rztr11;RZTR11;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX;Brasil Plural
https://www.fundsexplorer.com.br/funds/saag11;SAAG11;SANTANDER AGÊNCIAS FDO INV IMOB - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/sadi11;SADI11;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;Santander Asset Manager
https://www.fundsexplorer.com.br/funds/saic11b;SAIC11B;FDO INV IMOB - FII SIA CORPORATE;BRB
https://www.fundsexplorer.com.br/funds/sare11;SARE11;SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.;Santander Asset Manager
https://www.fundsexplorer.com.br/funds/scpf11;SCPF11;FDO INV IMOB SCP;Unitas
https://www.fundsexplorer.com.br/funds/sdil11;SDIL11;SDI LOGÍSTICA RIO FDO INV IMOB - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/sdip11;SDIP11;SDI PROPERTIES - FDO INV. IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/seqr11;SEQR11;SEQUOIA III RENDA IMOBILIÁRIA – FDO. INV. IMOB.;Vortx
https://www.fundsexplorer.com.br/funds/sfnd11;SFND11;FDO INV IMOB SÃO FERNANDO;Rio Bravo
https://www.fundsexplorer.com.br/funds/shdp11b;SHDP11B;FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;BTG Pactual
https://www.fundsexplorer.com.br/funds/shop11;SHOP11;MULTI SHOPPINGS FDO INV IMOB - FII;Modal
https://www.fundsexplorer.com.br/funds/shph11;SHPH11;FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS;Rio Bravo
https://www.fundsexplorer.com.br/funds/sjau11;SJAU11;SJ AU LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;Vortx
https://www.fundsexplorer.com.br/funds/snci11;SNCI11;SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB;BTG Pactual
https://www.fundsexplorer.com.br/funds/snff11;SNFF11;SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;BTG Pactual
https://www.fundsexplorer.com.br/funds/sptw11;SPTW11;SP DOWNTOWN FDO INV IMOB - FII;Geração Futuro
https://www.fundsexplorer.com.br/funds/spvj11;SPVJ11;FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO;Vortx
